source_id,case_group,title,source_type,publisher,date,official_level,format,url,priority,summary,ontology_value,suggested_extraction
HX11,华夏幸福,关于债务重组进展等事项的公告,风险公告,华夏幸福/公告镜像,2026-06-18,交易所披露文件镜像,HTML（页面含公告下载入口）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12399535&stockid=600340,高,截至2026年5月的债务重组、股权抵债和未如期偿还债务进展。,用于更新债务状态时间序列和重组执行结果。,RestructuringProgress; DebtStatusSnapshot; EquitySettlement; OverdueAmount
KM01,康美药业,康美药业2017年年度报告,年度报告,康美药业/公告镜像,2018-04-26,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=4346342,高,财务造假期间的公司披露文本，可与后续监管认定进行对照。,适合建立“公司披露—后续认定虚假—更正/处罚”的证据对照。,AnnualReport; DisclosedRevenue; CashBalance; RelatedPartyTransaction; DisclosureStatement
KM02,康美药业,康美药业2018年年度报告,年度报告,康美药业/公告镜像,2019-04-30,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=5335846&stockid=600518,高,包含保留意见审计报告和风险暴露阶段的重要财务披露。,用于建模审计意见、财务更正、重大遗漏及持续经营风险。,QualifiedAuditOpinion; FinancialRestatement; MaterialOmission; AuditReport
KM03,康美药业,证监会行政处罚决定书〔2020〕24号,监管处罚,中国证监会,2020-05-13,官方,HTML,https://www.csrc.gov.cn/csrc/c101928/c1042341/content.shtml,最高,认定虚增收入、利润、货币资金和资产，以及未披露关联方非经营性资金占用。,可直接抽取违法行为、责任主体、虚假财务项目、关联方占款和处罚结果。,FalseStatement; InflatedRevenue; InflatedCash; FundOccupation; Controller; PenaltyDecision
KM04,康美药业,证监会对正中珠江会计师事务所行政处罚决定书〔2021〕11号,中介机构处罚,中国证监会,2021,官方,HTML,https://www.csrc.gov.cn/csrc/c101928/c9a654df415374f6aa6a1a5e46e4e8221/content.shtml,高,围绕康美药业2016至2018年审计业务，追究会计师事务所及签字会计师责任。,补充审计机构、审计项目、勤勉义务、审计程序缺陷和中介责任。,AuditFirm; SigningAccountant; AuditEngagement; DueDiligenceDuty; IntermediaryLiability
KM05,康美药业,证监会就康美药业特别代表人诉讼判决答记者问,监管解读,中国证监会,2021-11-12,官方,HTML,https://www.csrc.gov.cn/csrc/c100028/c1556048/content.shtml,高,说明特别代表人诉讼、民事赔偿、关联方资金追收及行政刑事民事协同追责。,用于建模投资者、代表人、诉讼、赔偿、资金追收和多层责任机制。,Investor; RepresentativeLitigation; Compensation; AssetRecovery; CivilLiability
KM06,康美药业,2021年全国法院十大商事案件中的康美药业案,法院典型案例,最高人民法院,2022,官方,HTML,https://www.court.gov.cn/zixun/xiangqing/344441.html,高,法院视角总结康美药业证券虚假陈述特别代表人诉讼的案情和裁判意义。,用于补充原告、被告、代表人、法院、判决、连带责任和损失核定。,Plaintiff; Defendant; Court; Judgment; JointLiability; LossAssessment
KM07,康美药业,投资者保护典型案例：康美药业案,投资者保护案例,中国证监会,2022-09-23,官方,HTML,https://www.csrc.gov.cn/csrc/c100210/c5737509/content.shtml,中,从投资者保护角度总结特别代表人诉讼制度、赔偿范围和治理意义。,适合补充制度工具、投资者集合、赔偿事件和治理效果。,InvestorProtectionMechanism; EligibleInvestor; CompensationEvent; GovernanceOutcome
ZJ01,紫晶存储,紫晶存储科创板首次公开发行招股说明书申报稿,招股说明书,上海证券交易所,2019-04-03,官方,PDF,https://static.sse.com.cn/stock/disclosure/announcement/c/201904/000034_20190403_6ZMQ.pdf,最高,欺诈发行案件的原始申报披露文本，用于与后续监管认定逐项对照。,适合抽取发行人、控制人、客户、供应商、收入、担保和申报文件。,Issuer; Prospectus; Controller; Customer; Supplier; Revenue; Guarantee; IPOApplication
ZJ02,紫晶存储,紫晶存储2020年年度报告（修订版）,年度报告,紫晶存储/公告镜像,2021-06-12,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7317790&stockid=688086,高,风险暴露早期年报，包含保留意见审计报告和对外担保等重要信息。,用于提取审计保留事项、担保、收入确认和财务披露修订。,ModifiedAnnualReport; QualifiedAuditOpinion; ExternalGuarantee; RevenueRecognition
ZJ03,紫晶存储,紫晶存储2021年年度报告,年度报告,紫晶存储/公告镜像,2022-04-30,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=8185510&stockid=688086,高,包含无法表示意见审计报告、前期差错和经营恶化信息。,用于建模无法表示意见、会计差错、财务异常和董事异议。,DisclaimerAuditOpinion; AccountingError; DirectorDissent; FinancialAnomaly
ZJ04,紫晶存储,证监会行政处罚决定书〔2023〕30号,监管处罚,中国证监会,2023-04-18,官方,HTML,https://www.csrc.gov.cn/csrc/c101928/c7404371/content.shtml,最高,认定欺诈发行、虚构销售、伪造物流和验收材料、安排资金回款、提前确认收入及未披露担保。,是构建虚假交易和欺诈发行风险机制的核心事实来源。,FictitiousSale; ForgedLogisticsDocument; ForgedAcceptance; ArrangedFundReturn; FraudulentIPO; UndisclosedGuarantee
ZJ05,紫晶存储,证监会行政复议决定书〔2023〕155号,行政复议,中国证监会,2023,官方,HTML,https://www.csrc.gov.cn/csrc/c105938/c4e6006cc4c4d43b69964fee6e0058929/content.shtml,中,复核行政处罚事实和法律适用，补充当事人申辩及监管机关回应。,适合建模复议申请、争议事项、证据评价和维持处罚决定。,AdministrativeReconsideration; Applicant; DisputedFinding; EvidenceEvaluation; UpheldDecision
ZJ06,紫晶存储,关于紫晶存储股票终止上市的公告,退市决定,上海证券交易所,2023-05-31,官方,HTML,https://www.sse.com.cn/disclosure/announcement/listing/stock/c/c_20230531_89787013.shtml,高,说明欺诈发行触发重大违法强制退市及退市整理程序。,用于建模重大违法、退市条件、终止上市决定和摘牌程序。,MajorViolation; DelistingCondition; TerminationDecision; DelistingPeriod
ZJ07,紫晶存储,2023年度投资者保护典型案例中的紫晶存储先行赔付案,投资者保护案例,中国投资者网,2024-05-17,官方机构,HTML,https://www.investor.org.cn/rights_interests_protection/rights_protection_service/methods_channels/202405/t20240517_764271.shtml,高,披露中介机构设立专项基金进行先行赔付的机制、人数和金额。,适合建模专项基金、基金管理人、中介机构、投资者和赔付事件。,AdvanceCompensationFund; FundManager; Intermediary; EligibleInvestor; CompensationPayment
ZJ08,紫晶存储,行政执法当事人承诺制度下紫晶存储投资者赔偿,执法承诺/赔偿,上海证券交易所,2024-08-30,官方,HTML,https://www.sse.com.cn/home/component/news/c/c_20240830_10761178.shtml,中,披露中介机构交纳承诺金、投资者赔偿和整改安排。,用于建模行政执法承诺、承诺金、整改义务和赔偿资金流。,EnforcementUndertaking; UndertakingPayment; Remediation; InvestorCompensation
CT01,法院重整案例,全国法院审理破产典型案例,法院典型案例合集,最高人民法院,2018,官方,HTML,https://www.court.gov.cn/zixun/xiangqing/83792.html,最高,包含重庆钢铁、江苏纺织集团、云南煤化工等破产重整案例。,可抽取债务人、债权人、管理人、实质合并、债转股、清偿方案和职工安置。,Debtor; Creditor; Administrator; SubstantiveConsolidation; DebtToEquitySwap; RestructuringPlan
CT02,法院重整案例,指导案例163号：江苏纺织集团及五家子公司实质合并破产重整案,指导性案例,最高人民法院,2021-10-09,官方,HTML,https://www.court.gov.cn/shenpan/xiangqing/325571.html,最高,明确关联企业实质合并破产的条件、法律效果和重整计划设计。,用于规范“法人人格高度混同”“区分成本过高”“公平清偿”等概念和判断关系。,CorporatePersonalityCommingling; ConsolidationNecessity; FairDistribution; CourtRuling
CT03,法院重整案例,2021年全国法院十大商事案件,法院典型案例合集,最高人民法院,2022,官方,HTML,https://www.court.gov.cn/zixun/xiangqing/344441.html,高,包含海航集团、北大方正集团实质合并重整及康美药业特别代表人诉讼。,适合大型集团风险、协同重整、境外承认、证券诉讼等跨场景建模。,EnterpriseGroup; CoordinatedRestructuring; CrossBorderRecognition; SecuritiesLitigation
CT04,法院重整案例,依法审理破产案件推进供给侧结构性改革典型案例,法院典型案例合集,最高人民法院,2016-06-16,官方,HTML,https://www.court.gov.cn/zixun/xiangqing/22051.html,中,包括上市公司重整、公司债违约、关联企业合并破产和资产处置案例。,用于扩展重整方式、资产剥离、公司债违约、战略投资人和恢复上市。,BondDefault; StrategicInvestor; AssetSpinOff; ListingResumption; BankruptcyLiquidation
CT05,法院重整案例,2025年度民商事典型案例中的金科股份重整案,法院典型案例,最高人民法院,2026,官方,HTML,https://www.court.gov.cn/zixun/xiangqing/489741.html,高,大型房地产上市公司协同重整、保交楼、分类处置关联企业和多元偿债工具案例。,适合与华夏幸福形成房地产企业风险化解对照。,RealEstateRestructuring; ProjectDeliveryProtection; CoordinatedRestructuring; TrustBeneficialInterest
CT06,法院重整案例,依法平等保护非公有制经济民商事典型案例中的百业房地产重整案,法院典型案例,最高人民法院,2016,官方,HTML,https://www.court.gov.cn/zixun/xiangqing/19202.html,高,六家关联公司互联互保、现金链断裂、担保债务和整体重整案例。,适合构建互保、关联企业、担保债务、资产查封和企业重整关系。,MutualGuarantee; AffiliatedCompany; GuaranteeDebt; AssetSeizure; CashChainBreak
NF01,金融监管处罚,河北武强农商行关联交易、承接贷款及资金挪用责任处罚,行政处罚,国家金融监督管理总局衡水监管分局,2024-08-09,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1195954&itemId=4115,最高,关联方识别不全、重大关联交易审批缺失、延迟风险暴露及贷款资金挪用。,银行授信风险 Ontology 的高密度样本。,RelatedPartyIdentification; MajorRelatedTransaction; DelayedRiskExposure; LoanMisappropriation
NF02,金融监管处罚,广平县农信社违规发放贷款、关联交易和风险分类处罚,行政处罚,国家金融监督管理总局邯郸监管分局,2025,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1259769&itemId=4293,最高,覆盖违规放贷、关联方认定、重大关联交易审批、五级分类、贷后检查和不良处置。,适合构建银行内部控制、授信审批、风险分类和责任人员关系。,IllegalLending; CreditApproval; FiveCategoryClassification; PostLoanInspection; BadLoanDisposal
NF03,金融监管处罚,河北大名农商行关联方和贷款三查处罚,行政处罚,国家金融监督管理总局邯郸监管分局,2024-11-14,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1187701&generaltype=9&itemId=4115,高,关联方认定、关联交易、信贷管理和贷款三查制度执行不到位。,用于定义贷前调查、贷中审查、贷后检查和关联交易治理。,PreLoanInvestigation; CreditReview; PostLoanInspection; RelatedTransactionGovernance
NF04,金融监管处罚,中国银行汕尾分行贷前关联企业识别不全处罚,行政处罚,国家金融监督管理总局汕尾监管分局,2025,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1234825&itemId=4293,最高,贷前未完整识别关联企业，信贷资金流向关联企业。,非常贴近当前项目中的“隐藏关联关系—资金流向关联方”风险模式。,HiddenAffiliate; PreLoanDueDiligenceFailure; LoanFlowToAffiliate; BankBranch
NF05,金融监管处罚,随州金融监管分局贷款挪用和集团客户统一授信处罚,行政处罚,国家金融监督管理总局随州监管分局,2025-03-28,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1203117&generaltype=9&itemId=4115,高,覆盖贷后管理、资金挪用、流贷用于固定资产、集团客户未统一授信和关联交易审批。,用于统一授信和贷款用途控制的规则样本。,UnifiedCredit; LoanPurposeViolation; FixedAssetUse; RelatedTransactionApproval
NF06,金融监管处罚,交通银行朔州分行未对关联企业按集团客户统一授信处罚,行政处罚,国家金融监督管理总局朔州监管分局,2026-04-28,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1256474&generaltype=0&itemId=4293,中,关联企业未按集团客户实施统一授信，并涉及风险资产分类。,用于定义关联企业集合、集团客户和统一授信义务。,AffiliatedEnterpriseSet; GroupCustomer; UnifiedCreditObligation; RiskAssetClassification
NF07,金融监管处罚,上海崇明沪农商村镇银行统一授信和贷款管理处罚,行政处罚,国家金融监督管理总局上海监管局,2026-05-09,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1257170&generaltype=9&itemId=4114,中,未按规定对集团客户统一授信，贷款和员工行为管理严重违反审慎经营规则。,补充集团客户、审慎经营规则和员工行为风险。,GroupCustomer; PrudentialRule; EmployeeConductRisk; LoanManagement
NF08,金融监管处罚,湖北金融监管局多家银行贷款资金挪用处罚,行政处罚,国家金融监督管理总局湖北监管局,2024-12-31,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1192903&itemId=4114,高,涉及贷前调查、贷后管理、贷款资金挪用、贷款重组和数据管理。,用于连接贷前、贷后、资金流向、贷款重组和监管数据质量。,LoanInvestigation; PostLoanManagement; LoanMisappropriation; LoanRestructuring; DataGovernance
NF09,金融监管处罚,山西银行重大关联交易未经董事会批准责任处罚,行政处罚,国家金融监督管理总局山西监管局,2024-11-18,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1187021&generaltype=9&itemId=4114,高,关联方认定不准确导致重大关联交易未经董事会批准。,适合建模认定错误、审批机构、重大交易和责任人员。,RelatedPartyMisclassification; BoardApproval; MajorTransaction; ResponsiblePerson
NF10,金融监管处罚,邮储银行抚顺分行贷后管理不审慎导致贷款挪用处罚,行政处罚,国家金融监督管理总局辽宁监管局,2025-02-26,官方,HTML,https://www.nfra.gov.cn/cn/view/pages/ItemDetail.html?docId=1200441&generaltype=9&itemId=4114,中,贷后管理不审慎导致贷款资金被挪用的简洁处罚样本。,可作为单一违规类型的标准化训练样本。,PostLoanManagementFailure; LoanMisappropriation; Penalty; BankBranch
